fold,train_end,test_start,test_size,kappa,accuracy,f1_binary,precision_binary,recall_binary
45,1703,1724,63,0.0334728033472802,0.30158730158730157,0.12,1.0,0.06382978723404255
46,1724,1745,63,-0.0065359477124184995,0.30158730158730157,0.08333333333333333,0.6666666666666666,0.044444444444444446
47,1745,1766,63,0.042553191489361764,0.4444444444444444,0.2222222222222222,0.7142857142857143,0.13157894736842105
48,1766,1787,63,0.4242424242424242,0.6984126984126984,0.6415094339622641,0.9444444444444444,0.4857142857142857
49,1787,1808,63,0.342989571263036,0.7142857142857143,0.47058823529411764,1.0,0.3076923076923077
50,1808,1829,63,0.33080424886191195,0.6666666666666666,0.6440677966101694,0.6551724137931034,0.6333333333333333
51,1829,1850,63,0.25,0.6190476190476191,0.6129032258064516,0.5428571428571428,0.7037037037037037
52,1850,1871,63,-0.16522811344019717,0.5238095238095238,0.16666666666666666,0.15789473684210525,0.17647058823529413
53,1871,1892,63,0.11764705882352955,0.4444444444444444,0.2857142857142857,0.16666666666666666,1.0
54,1892,1913,63,0.08306709265175705,0.3492063492063492,0.3050847457627119,0.18,1.0
55,1913,1934,63,0.16149068322981353,0.5238095238095238,0.6341463414634146,0.4642857142857143,1.0
56,1934,1955,63,0.12068965517241392,0.4603174603174603,0.5405405405405406,0.37735849056603776,0.9523809523809523
57,1955,1976,44,0.0,0.38636363636363635,0.5573770491803278,0.38636363636363635,1.0
58,1976,1997,23,0.0,0.0,0.0,0.0,0.0
