fold,train_end,test_start,test_size,kappa,accuracy,f1_binary,precision_binary,recall_binary
31,1409,1430,63,0.6331877729257642,0.873015873015873,0.9183673469387755,0.9375,0.9
32,1430,1451,63,0.4285714285714286,0.873015873015873,0.9272727272727272,0.9107142857142857,0.9444444444444444
33,1451,1472,63,0.3587786259541985,0.873015873015873,0.9285714285714286,0.9122807017543859,0.9454545454545454
34,1472,1493,63,0.43875278396436523,0.873015873015873,0.9272727272727272,0.8793103448275862,0.9807692307692307
35,1493,1514,63,0.0,0.9206349206349206,0.9586776859504132,0.9206349206349206,1.0
36,1514,1535,63,0.7341772151898733,0.9682539682539683,0.9830508474576272,0.9666666666666667,1.0
37,1535,1556,63,0.0,0.9365079365079365,0.9672131147540983,0.9365079365079365,1.0
38,1556,1577,63,0.0,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0
39,1577,1598,63,0.0,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0
40,1598,1619,63,0.0,0.49206349206349204,0.6595744680851063,0.49206349206349204,1.0
41,1619,1640,63,0.3834196891191709,0.7301587301587301,0.8131868131868132,0.6851851851851852,1.0
42,1640,1661,63,0.4261133603238867,0.7142857142857143,0.75,0.675,0.84375
43,1661,1682,63,0.588235294117647,0.873015873015873,0.9215686274509803,0.9215686274509803,0.9215686274509803
44,1682,1703,63,0.5743243243243243,0.9047619047619048,0.9454545454545454,0.9811320754716981,0.9122807017543859
45,1703,1724,63,0.9468354430379747,0.9841269841269841,0.9902912621359223,1.0,0.9807692307692307
46,1724,1745,63,0.7878787878787878,0.9047619047619048,0.9285714285714286,1.0,0.8666666666666667
47,1745,1766,63,0.7878787878787878,0.9047619047619048,0.9285714285714286,1.0,0.8666666666666667
48,1766,1787,63,0.8314606741573034,0.9206349206349206,0.9367088607594937,1.0,0.8809523809523809
49,1787,1808,63,0.936105476673428,0.9682539682539683,0.9655172413793104,0.9655172413793104,0.9655172413793104
50,1808,1829,63,0.8239239798770263,0.9206349206349206,0.8837209302325582,0.8260869565217391,0.95
51,1829,1850,63,0.6166328600405679,0.8095238095238095,0.76,0.6129032258064516,1.0
52,1850,1871,63,0.423076923076923,0.6825396825396826,0.6774193548387096,0.5121951219512195,1.0
53,1871,1892,63,0.31415241057542775,0.6666666666666666,0.5116279069767442,0.36666666666666664,0.8461538461538461
54,1892,1913,63,0.5097276264591439,0.746031746031746,0.75,0.631578947368421,0.9230769230769231
55,1913,1934,63,0.5955555555555556,0.7936507936507936,0.7936507936507936,0.6944444444444444,0.9259259259259259
56,1934,1955,63,0.43297015632401703,0.6984126984126984,0.7246376811594203,0.5813953488372093,0.9615384615384616
57,1955,1976,44,0.2325581395348837,0.5909090909090909,0.4,0.25,1.0
58,1976,1997,23,0.14814814814814803,0.4782608695652174,0.3333333333333333,0.2,1.0
