date,close,legacy_bear,trend,drawdown,vol_pctile,multidim_regime
2018-04-20,8856.98,1,,-0.25445982516761445,0.14678899082568808,1
2018-04-21,8915.31,1,,-0.249549871842895,0.14545454545454545,1
2018-04-22,8787.02,1,,-0.26034873884149345,0.15315315315315314,1
2018-04-23,8934.01,1,,-0.2479757911439021,0.125,1
2018-04-24,9619.99,1,,-0.19023312387678404,0.04424778761061947,1
2018-04-25,8869.99,1,,-0.2533647027133953,0.18421052631578946,1
2018-04-26,9266.0,0,,-0.22003038733328006,0.1826086956521739,1
2018-04-27,8915.35,1,,-0.249546504825357,0.20689655172413793,1
2018-04-28,9348.0,0,,-0.18818931828050367,0.24786324786324787,1
2018-04-29,9419.0,0,,-0.18202344767694312,0.1864406779661017,1
2018-04-30,9246.01,1,,-0.19704646113764657,0.21008403361344538,1
2018-05-01,9071.48,1,,-0.21220321320017377,0.25,1
2018-05-02,9247.84,1,,-0.196887537993921,0.0,1
2018-05-03,9750.0,1,,-0.15327833260963963,0.00819672131147541,1
2018-05-04,9713.99,1,,-0.15640555796786804,0.016260162601626018,1
2018-05-05,9864.0,1,,-0.14337820234476772,0.008064516129032258,1
2018-05-06,9659.01,1,,-0.1611801997394703,0.0,1
2018-05-07,9365.0,1,,-0.1867129830655666,0.015873015873015872,1
2018-05-08,9187.56,1,,-0.20212244897959186,0.015748031496062992,1
2018-05-09,9310.0,0,,-0.19148936170212771,0.0234375,1
2018-05-10,9002.2,0,,-0.21821971341728175,0.0,1
2018-05-11,8400.0,0,,-0.270516717325228,0.05384615384615385,1
2018-05-12,8465.94,0,,-0.26479027355623097,0.05343511450381679,1
2018-05-13,8679.71,0,,-0.2462257924446375,0.07575757575757576,1
2018-05-14,8663.34,0,,-0.24764741641337384,0.0,1
2018-05-15,8462.0,0,,-0.26513243595310465,0.0,1
2018-05-16,8330.0,0,,-0.276595744680851,0.0,1
2018-05-17,8041.46,0,,-0.3016534954407295,0.0,1
2018-05-18,8239.81,0,,-0.28442813721233173,0.0,1
2018-05-19,8233.49,0,,-0.2849769865392966,0.0,1
2018-05-20,8526.98,0,,-0.25948936170212766,0.014388489208633094,1
2018-05-21,8381.24,0,,-0.272145896656535,0.014285714285714285,1
2018-05-22,7977.11,1,,-0.3072418584455059,0.0425531914893617,1
2018-05-23,7501.95,1,,-0.34850629613547546,0.014084507042253521,1
2018-05-24,7575.01,1,,-0.34216152844116365,0.027972027972027972,1
2018-05-25,7457.0,1,,-0.35240990013026485,0.013888888888888888,1
2018-05-26,7333.96,1,,-0.3630950933564915,0.013793103448275862,1
2018-05-27,7338.99,1,,-0.36265827181936605,0.0136986301369863,1
2018-05-28,7099.0,1,,-0.38349978289188014,0.034013605442176874,1
2018-05-29,7461.29,0,,-0.3520373425966131,0.08783783783783784,1
2018-05-30,7375.96,0,,-0.35944767694311763,0.087248322147651,1
2018-05-31,7485.01,0,,-0.3499774207555363,0.02,1
2018-06-01,7521.01,0,,-0.34685106382978725,0.019867549668874173,1
2018-06-02,7640.03,0,,-0.33298149118211984,0.0,1
