date,close,prob,position_size,dip_triggered,current_position,entry_price,days_in_position,action
2025-11-03,106583.04,0.14587173739262813,0.0,False,0.0,,0,hold
2025-11-04,101497.22,0.16051675914955565,0.0,False,0.0,,0,hold
2025-11-05,103885.16,0.1341880688841559,0.0,False,0.0,,0,hold
2025-11-06,101346.04,0.18314548506524603,0.0,False,0.0,,0,hold
2025-11-07,103339.08,0.16314535482740702,0.0,False,0.0,,0,hold
2025-11-08,102312.94,0.17075600889362896,0.0,False,0.0,,0,hold
2025-11-09,104722.96,0.5781125576235278,0.1562251152470555,False,0.0,,0,hold
2025-11-10,106011.13,0.6568608456450281,0.3137216912900562,False,0.0,,0,hold
2025-11-11,103058.99,0.25992570612330007,0.0,False,0.0,,0,hold
2025-11-12,101654.37,0.22961273259119241,0.0,False,0.0,,0,hold
2025-11-13,99692.02,0.20571194799243364,0.0,False,0.0,,0,hold
2025-11-14,94594.0,0.23608182872398198,0.0,True,0.0,,0,hold
2025-11-15,95596.24,0.21233852022661281,0.0,False,0.0,,0,hold
2025-11-16,94261.44,0.2184036491825723,0.0,False,0.0,,0,hold
2025-11-17,92215.14,0.25908157776997087,0.0,False,0.0,,0,hold
2025-11-18,92960.83,0.25277197875578167,0.0,False,0.0,,0,hold
2025-11-19,91554.96,0.2176989417054023,0.0,False,0.0,,0,hold
2025-11-20,86637.23,0.26045541869575184,0.0,True,0.0,,0,hold
2025-11-21,85129.43,0.5561540518570809,0.11230810371416178,False,0.0,,0,hold
2025-11-22,84739.74,0.3394345391651515,0.0,False,0.0,,0,hold
2025-11-23,86830.0,0.6762665775566556,0.3525331551133113,False,0.0,,0,hold
2025-11-24,88300.01,0.6742452747025193,0.34849054940503854,False,0.0,,0,hold
2025-11-25,87369.96,0.6877568581688034,0.3755137163376068,False,0.0,,0,hold
2025-11-26,90484.02,0.7451781646789432,0.4903563293578863,False,0.0,,0,hold
2025-11-27,91333.95,0.8482958463929673,0.6965916927859346,False,0.0,,0,hold
2025-11-28,90890.7,0.8403367485846123,0.6806734971692245,False,0.0,,0,hold
2025-11-29,90802.44,0.8221328825970329,0.6442657651940658,False,0.0,,0,hold
2025-11-30,90360.0,0.8026153633855598,0.6052307267711197,False,0.0,,0,hold
2025-12-01,86286.01,0.6976234641324358,0.3952469282648716,False,0.0,,0,hold
2025-12-02,91277.88,0.8131313424430222,0.6262626848860444,False,0.0,,0,hold
2025-12-03,93429.95,0.8057121772923601,0.6114243545847202,False,0.0,,0,hold
2025-12-04,92078.06,0.8152212329931712,0.6304424659863423,False,0.0,,0,hold
2025-12-05,89330.04,0.8171681799674275,0.634336359934855,False,0.0,,0,hold
2025-12-06,89236.79,0.7852745833404292,0.5705491666808584,False,0.0,,0,hold
2025-12-07,90395.31,0.802239666995312,0.604479333990624,False,0.0,,0,hold
2025-12-08,90634.34,0.8194138917955507,0.6388277835911014,False,0.0,,0,hold
2025-12-09,92678.8,0.8323727656950717,0.6647455313901434,False,0.0,,0,hold
2025-12-10,92015.37,0.8478968872004462,0.6957937744008924,False,0.0,,0,hold
2025-12-11,92513.38,0.8445339645415396,0.6890679290830792,False,0.0,,0,hold
2025-12-12,90268.42,0.7749941824887607,0.5499883649775215,False,0.0,,0,hold
2025-12-13,90240.01,0.7455651436544893,0.4911302873089787,False,0.0,,0,hold
2025-12-14,88172.17,0.3471531922367925,0.0,False,0.0,,0,hold
2025-11-03,106583.04,0.14363611745468705,0.0,False,0.0,,0,hold
2025-11-04,101497.22,0.19492524290523902,0.0,False,0.0,,0,hold
2025-11-05,103885.16,0.1772430410911962,0.0,False,0.0,,0,hold
2025-11-06,101346.04,0.18667850859584523,0.0,False,0.0,,0,hold
2025-11-07,103339.08,0.19903848862275786,0.0,False,0.0,,0,hold
