date,funding_rate_mean,funding_rate_sum,funding_rate_max,funding_rate_min
2020-01-23,0.00024101333333333334,0.00072304,0.00052304,0.0001
2020-01-24,0.0003826366666666667,0.00114791,0.00054719,0.00017948
2020-01-25,0.0001,0.00030000000000000003,0.0001,0.0001
2020-01-26,0.0001,0.00030000000000000003,0.0001,0.0001
2020-01-27,0.0001,0.00030000000000000003,0.0001,0.0001
2020-01-28,0.00044361000000000004,0.00133083,0.00068689,0.0001
2020-01-29,0.0007473699999999999,0.00224211,0.00108193,0.00053694
2020-01-30,0.0002777633333333333,0.00083329,0.00034852,0.000236
2020-01-31,0.0005685433333333334,0.00170563,0.00077154,0.00039858
2020-02-01,0.0006323666666666667,0.0018971,0.00074991,0.00049052
2020-02-02,0.00042901,0.00128703,0.00065524,0.00028263
2020-02-03,0.00035513,0.00106539,0.00060677,0.0001
2020-02-04,0.0006397466666666667,0.00191924,0.00099282,0.00038192
2020-02-05,0.00024210333333333332,0.00072631,0.00052631,0.0001
2020-02-06,0.0009932933333333333,0.00297988,0.00164021,0.00055668
2020-02-07,0.0002998666666666667,0.0008996,0.00035618,0.00019726
2020-02-08,0.0006736266666666667,0.00202088,0.00099315,0.00039915
2020-02-09,0.0007942366666666667,0.00238271,0.00113954,0.00042798
2020-02-10,0.00109891,0.0032967300000000003,0.00125022,0.00097918
2020-02-11,0.0005296866666666668,0.0015890600000000002,0.00064797,0.00043989
2020-02-12,0.0017064633333333332,0.00511939,0.003,0.00103884
2020-02-13,0.0008279,0.0024837,0.00093553,0.00070414
2020-02-14,0.00064575,0.00193725,0.00074453,0.00055952
2020-02-15,0.00081114,0.00243342,0.0009686,0.00059113
2020-02-16,0.00049674,0.00149022,0.00060847,0.00036973
2020-02-17,0.0006507166666666667,0.0019521500000000002,0.00091076,0.00043179
2020-02-18,0.00023527,0.00070581,0.00029662,0.00013952
2020-02-19,0.0004188,0.0012564,0.00046396,0.00038487
2020-02-20,0.0001,0.00030000000000000003,0.0001,0.0001
2020-02-21,0.0001,0.00030000000000000003,0.0001,0.0001
2020-02-22,0.00010747666666666667,0.00032243,0.00012243,0.0001
2020-02-23,0.00044660333333333327,0.0013398099999999999,0.00065308,0.00029663
2020-02-24,0.00024453666666666665,0.00073361,0.00048774,0.0001
2020-02-25,0.00035567,0.00106701,0.00046949,0.00027363
2020-02-26,0.00041820000000000003,0.0012546,0.0005063,0.0003617
2020-02-27,0.00012454333333333334,0.00037363,0.00017363,0.0001
2020-02-28,0.00015087666666666665,0.00045263,0.00023604,0.0001
2020-02-29,0.00061349,0.0018404699999999999,0.00062345,0.00060166
2020-03-01,0.0003609433333333333,0.00108283,0.00049317,0.00027933
2020-03-02,0.00012906666666666667,0.0003872,0.0001872,0.0001
2020-03-03,0.0001,0.00030000000000000003,0.0001,0.0001
2020-03-04,0.00014776,0.00044328,0.00024328,0.0001
2020-03-05,0.00017667333333333331,0.00053002,0.00023481,0.0001
2020-03-06,0.00025946000000000004,0.0007783800000000001,0.00035706,0.00020373
2020-03-07,0.0003475866666666667,0.00104276,0.00039476,0.00032086
2020-03-08,0.0004911766666666667,0.00147353,0.00054685,0.00042921
2020-03-09,0.0001,0.00030000000000000003,0.0001,0.0001
2020-03-10,0.0001,0.00030000000000000003,0.0001,0.0001
2020-03-11,0.00014299333333333335,0.00042898000000000003,0.00022898,0.0001
2020-03-12,1.8076666666666666e-05,5.423e-05,0.00010572,-0.00015149
2020-03-13,-0.0012715033333333334,-0.00381451,-0.00016073,-0.003
