指标,h,事件N,事命中率,事均反弹,事超额,低估天数,日命中率,日均反弹,日超额,统一基线,子样本IC,子t,子N
AVIV比率(估值),180,3,0.6666666666666666,0.4498178013536785,0.1045431195599828,300,0.8733333333333333,0.8712841270290986,0.5260094452354029,0.3452746817936957,,,
CDD(币天销毁),30,18,0.4444444444444444,0.021403198942739968,-0.021437496121347155,214,0.5887850467289719,0.03287870416063804,-0.009961990903449083,0.04284069506408712,0.7380952380952381,2.6796590924604065,8.0
CDD(币天销毁),90,4,0.25,-0.07160574308607662,-0.2202613011766053,205,0.5804878048780487,0.1439336729036872,-0.004721885186841496,0.1486555580905287,,,
CDD(币天销毁),180,2,0.5,0.14983060938809367,-0.19544407240560202,198,0.6818181818181818,0.39876972072388783,0.05349503893019214,0.3452746817936957,,,
CDD调整(终端),30,19,0.47368421052631576,0.05402541151784726,0.011184716453760138,58,0.5172413793103449,0.01519050205318317,-0.027650193010903955,0.04284069506408712,,,
CDD调整(终端),90,12,0.5833333333333334,0.14155883650842985,-0.007096721582098842,51,0.5882352941176471,0.1086030465386568,-0.040052511551871894,0.1486555580905287,,,
CDD调整(终端),180,3,0.3333333333333333,-0.19920381602034384,-0.5444784978140396,48,0.6875,0.26709952261103526,-0.07817515918266044,0.3452746817936957,,,
LTH-MVRV(长持估值),30,3,0.6666666666666666,0.07649550889802847,0.03365481383394135,494,0.6052631578947368,0.04566511657059387,0.002824421506506747,0.04284069506408712,-0.34803921568627455,-1.4378441369399555,17.0
LTH-MVRV(长持估值),90,3,0.6666666666666666,0.17294471914900308,0.024289161058474396,494,0.6234817813765182,0.2703186879668141,0.12166312987628539,0.1486555580905287,,,
LTH-MVRV(长持估值),180,3,0.3333333333333333,0.005348521505681769,-0.3399261602880139,494,0.7854251012145749,0.6362783504053757,0.29100366861168003,0.3452746817936957,,,
LTH-SOPR(长持获利),30,7,0.5714285714285714,0.015278328679064963,-0.027562366385022158,554,0.5812274368231047,0.0401604665657703,-0.002680228498316825,0.04284069506408712,-0.14912280701754385,-0.6218016456515539,19.0
LTH-SOPR(长持获利),90,4,0.5,0.001682846347495992,-0.1469727117430327,530,0.5792452830188679,0.2067152969677054,0.05805973887717672,0.1486555580905287,,,
LTH-SOPR(长持获利),180,2,0.0,-0.4877317952181288,-0.8330064770118245,518,0.667953667953668,0.49882949085383776,0.15355480906014207,0.3452746817936957,,,
STH-MVRV(短持估值),30,12,0.3333333333333333,0.017091286049158837,-0.025749409014928285,658,0.5638297872340425,0.027955754294986132,-0.01488494076910099,0.04284069506408712,-0.06785418145361595,-0.3041541240696298,22.0
STH-MVRV(短持估值),90,8,0.625,-0.0013948112373208393,-0.15005036932784954,626,0.46485623003194887,0.053410553697861365,-0.09524500439266732,0.1486555580905287,,,
STH-MVRV(短持估值),180,6,0.5,0.2558814413439657,-0.08939324044973002,585,0.4478632478632479,0.20516661678045692,-0.14010806501323878,0.3452746817936957,,,
STH-NUPL(短持),30,12,0.25,-0.08116166588154443,-0.12400236094563155,613,0.5497553017944535,0.025134806278783634,-0.01770588878530349,0.04284069506408712,-0.3,-1.3708103001950631,21.0
STH-NUPL(短持),90,8,0.5,-0.04182323377279554,-0.19047879186332423,582,0.4725085910652921,0.04652743630131775,-0.10212812178921093,0.1486555580905287,,,
STH-NUPL(短持),180,6,0.5,0.20610155947330852,-0.13917312232038717,544,0.44669117647058826,0.1878317276480937,-0.157442954145602,0.3452746817936957,,,
STH-SOPR(短持获利),30,19,0.5263157894736842,-0.014251189071347866,-0.05709188413543499,565,0.5592920353982301,0.029074107581568663,-0.01376658748251846,0.04284069506408712,-0.4140350877192982,-1.8754077628755383,19.0
STH-SOPR(短持获利),90,8,0.375,0.07280425939413786,-0.07585129869639083,564,0.48404255319148937,0.07540959124111901,-0.07324596684940968,0.1486555580905287,,,
STH-SOPR(短持获利),180,3,0.3333333333333333,-0.021788596839240393,-0.3670632786329361,554,0.4693140794223827,0.22070488414514972,-0.12456979764854598,0.3452746817936957,,,
